"varnames_orig","varnames_replace"
"audience_count_jul32_12w_5km","esize_12w_5km3"
"audience_count_jul32_12w_10km","esize_12w_10km3"
"audience_count_jul32_12w_25km","esize_12w_25km3"
"audience_count_jul32_12w_50km","esize_12w_50km3"
"audience_count_nov32_2w_5km","esize_2w_5km4"
"audience_count_nov32_2w_10km","esize_2w_10km4"
"audience_count_nov32_2w_25km","esize_2w_25km4"
"audience_count_nov32_2w_50km","esize_2w_50km4"
"audience_count_nov32_4w_5km","esize_4w_5km4"
"audience_count_nov32_4w_10km","esize_4w_10km4"
"audience_count_nov32_4w_25km","esize_4w_25km4"
"audience_count_nov32_4w_50km","esize_4w_50km4"
"audience_count_nov32_8w_5km","esize_8w_5km4"
"audience_count_nov32_8w_10km","esize_8w_10km4"
"audience_count_nov32_8w_25km","esize_8w_25km4"
"audience_count_nov32_8w_50km","esize_8w_50km4"
"audience_count_nov32_12w_5km","esize_12w_5km4"
"audience_count_nov32_12w_10km","esize_12w_10km4"
"audience_count_nov32_12w_25km","esize_12w_25km4"
"audience_count_nov32_12w_50km","esize_12w_50km4"
"audience_count_mar33_2w_5km","esize_2w_5km5"
"audience_count_mar33_2w_10km","esize_2w_10km5"
"audience_count_mar33_2w_25km","esize_2w_25km5"
"audience_count_mar33_2w_50km","esize_2w_50km5"
"audience_count_mar33_4w_5km","esize_4w_5km5"
"audience_count_mar33_4w_10km","esize_4w_10km5"
"audience_count_mar33_4w_25km","esize_4w_25km5"
"audience_count_mar33_4w_50km","esize_4w_50km5"
"audience_count_mar33_8w_5km","esize_8w_5km5"
"audience_count_mar33_8w_10km","esize_8w_10km5"
"audience_count_mar33_8w_25km","esize_8w_25km5"
"audience_count_mar33_8w_50km","esize_8w_50km5"
"audience_count_mar33_12w_5km","esize_12w_5km5"
"audience_count_mar33_12w_10km","esize_12w_10km5"
"audience_count_mar33_12w_25km","esize_12w_25km5"
"audience_count_mar33_12w_50km","esize_12w_50km5"
"audience_count_mar32_2w_5km","esize_2w_5km6"
"audience_count_mar32_2w_10km","esize_2w_10km6"
"audience_count_mar32_2w_25km","esize_2w_25km6"
"audience_count_mar32_2w_50km","esize_2w_50km6"
"audience_count_mar32_4w_5km","esize_4w_5km6"
"audience_count_mar32_4w_10km","esize_4w_10km6"
"audience_count_mar32_4w_25km","esize_4w_25km6"
"audience_count_mar32_4w_50km","esize_4w_50km6"
"audience_count_mar32_8w_5km","esize_8w_5km6"
"audience_count_mar32_8w_10km","esize_8w_10km6"
"audience_count_mar32_8w_25km","esize_8w_25km6"
"audience_count_mar32_8w_50km","esize_8w_50km6"
"audience_count_mar32_12w_5km","esize_12w_5km6"
"audience_count_mar32_12w_10km","esize_12w_10km6"
"audience_count_mar32_12w_25km","esize_12w_25km6"
"audience_count_mar32_12w_50km","esize_12w_50km6"
